LNF_code,Crop_DE,Crop_EN,Crop_FR,Crop_IT,Valid_from,Valid_until,Overlapping,BPA_QI ,Special_culture,Crop_Label,Crop_Label_lv1,Crop_Label_lv2,Crop_Label_lv3,Exclude,Avg_Area_ha,2019_Area_m2,2020_Area_m2,2021_Area_m22,2022_Area_m23,2023_Area_m24,2024_Area_m25,2025_Area_m26
840,"Kulturen in ganzjährig geschütztem Anbau, nicht beitragsberechtigt aggregiert","Crops in year-round protected cultivation, not eligible for contributions (aggregated)","Cultures sous abri sans fondations permanentes, sans contributions, agrégée","Superfici con colture protette tutto l’anno, senza contributi, aggregata",,2022.0,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,0,,,,,,,
847,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, beitragsberechtigt","Other crops in protected cultivation without permanent foundations, eligible for contributions","Autres cultures sous abri sans fondations permanentes, avec contributions","Altre colture coltivate al coperto senza fondamenta fisse, con contributi",,,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,11,118884,143408,26828,26929,123439,144202,172340
848,Übrige Kulturen in geschütztem Anbau mit festem Fundament,Other crops in protected cultivation with permanent foundations,Autres cultures sous abri avec fondations permanentes,Altre colture coltivate al coperto con fondamenta fisse,,,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,5,45771,56607,64435,52428,32727,36388,55698
849,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, nicht beitragsberechtigt","Other crops in protected cultivation without permanent foundations, not eligible for contributions","Autres cultures sous abri sans fondations permanentes, sans contributions","Altre colture coltivate al coperto senza fondamenta fisse, senza contributi",,,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,3,5868,14916,26736,18966,52488,57080,25358
851,Streueflächen in der landwirtschaftlichen Nutzfläche,Litter areas within agricultural land,Surfaces à litière dans la surface agricole utile,Terreni da strame all’interno della superficie agricola utilizzata,,,0.0,1.0,0.0,Litter Meadow,Litter Meadow,Meadow,Grassland,,8039,65581634,72082922,86431939,84259562,84503321,84814481,85081702
852,"Hecken-, Feld- und Ufergehölze (mit Krautsaum)","Hedges, field and riparian woody vegetation (with herbaceous margin)","Haies, bosquets champêtres et berges boisées (avec la bande herbeuse)","Siepi, boschetti campestri e rivieraschi (con bordo inerbito)",,,0.0,1.0,0.0,Hedges,Hedges,Woody Crops,Permanent,,4637,39127873,44706130,46154162,47029171,48060702,49280158,50241938
857,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen)","Hedges, field and riparian woody vegetation (with buffer strip)","Haies, bosquets champêtres et berges boisées (avec la bande herbeuse)","Siepi, boschetti campestri e rivieraschi (con fascia tampone)",,,0.0,0.0,0.0,Hedges,Hedges,Woody Crops,Permanent,,801,5907185,6981468,8605465,8355248,8440921,8687752,9060144
858,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche)","Hedges, field and riparian woody vegetation (with buffer strip, region-specific biodiversity promotion area)","Haies, bosquets champêtres et berges boisées (avec la bande tampon) (Surfaces de promotion de la biodiversité spécifiques à la région)","Siepi, boschetti campestri e rivieraschi (con fascia tampone) (Superfici per la promozione della biodiversità specifiche di una regione)",,,0.0,1.0,0.0,Hedges,Hedges,Woody Crops,Permanent,,53,304596,518401,586481,618204,542580,581213,591125
897,"Übrige Flächen innerhalb der landwirtschaftlichen Nutzfläche, beitragsberechtigt","Other areas within agricultural land, eligible for contributions","Autres surfaces dans la surface agricole utile, avec contributions","Altre superfici all’interno della superficie agricola utilizzata, con contributi",,,0.0,0.0,0.0,,,,,True,58,248055,260586,612248,755192,784542,767099,624047
898,"Übrige Flächen innerhalb der landwirtschaftlichen Nutzfläche, nicht beitragsberechtigt","Other areas within agricultural land, not eligible for contributions","Autres surfaces dans la surface agricole utile, sans contributions","Altre superfici all’interno della superficie agricola utilizzata, senza contributi",,,0.0,0.0,0.0,,,,,True,972,6690862,9338954,11120254,9723123,10155291,10267763,10727964
901,Wald,Forest,Forêt,Bosco,,,0.0,0.0,0.0,Forest,Forest,Forest,Forest,,19507,68314196,145196892,171077639,238877225,244061231,251895914,246050520
